,locationId,location,entity,parameter,value,sensor_lat,sensor_lon,local_time
0,1385,Windsor Downtown,Governmental Organization,pm25,125.0,42.3144,-83.0433,2023-06-06 19:00:00-04:00
1,1385,Windsor Downtown,Governmental Organization,pm25,21.0,42.3144,-83.0433,2023-06-06 18:00:00-04:00
2,1385,Windsor Downtown,Governmental Organization,pm25,14.0,42.3144,-83.0433,2023-06-06 17:00:00-04:00
3,1385,Windsor Downtown,Governmental Organization,pm25,18.0,42.3144,-83.0433,2023-06-06 16:00:00-04:00
4,1385,Windsor Downtown,Governmental Organization,pm25,21.0,42.3144,-83.0433,2023-06-06 15:00:00-04:00
5,1385,Windsor Downtown,Governmental Organization,pm25,24.0,42.3144,-83.0433,2023-06-06 14:00:00-04:00
6,1385,Windsor Downtown,Governmental Organization,pm25,28.0,42.3144,-83.0433,2023-06-06 13:00:00-04:00
7,1385,Windsor Downtown,Governmental Organization,pm25,30.0,42.3144,-83.0433,2023-06-06 12:00:00-04:00
8,1385,Windsor Downtown,Governmental Organization,pm25,36.0,42.3144,-83.0433,2023-06-06 11:00:00-04:00
9,1385,Windsor Downtown,Governmental Organization,pm25,48.0,42.3144,-83.0433,2023-06-06 10:00:00-04:00
10,1385,Windsor Downtown,Governmental Organization,pm25,50.0,42.3144,-83.0433,2023-06-06 09:00:00-04:00
11,1385,Windsor Downtown,Governmental Organization,pm25,48.0,42.3144,-83.0433,2023-06-06 08:00:00-04:00
12,1385,Windsor Downtown,Governmental Organization,pm25,50.0,42.3144,-83.0433,2023-06-06 07:00:00-04:00
13,1385,Windsor Downtown,Governmental Organization,pm25,44.0,42.3144,-83.0433,2023-06-06 06:00:00-04:00
14,1385,Windsor Downtown,Governmental Organization,pm25,41.0,42.3144,-83.0433,2023-06-06 05:00:00-04:00
15,1385,Windsor Downtown,Governmental Organization,pm25,37.0,42.3144,-83.0433,2023-06-06 04:00:00-04:00
16,1385,Windsor Downtown,Governmental Organization,pm25,35.0,42.3144,-83.0433,2023-06-06 03:00:00-04:00
17,1385,Windsor Downtown,Governmental Organization,pm25,33.0,42.3144,-83.0433,2023-06-06 02:00:00-04:00
18,1385,Windsor Downtown,Governmental Organization,pm25,31.0,42.3144,-83.0433,2023-06-06 01:00:00-04:00
19,1385,Windsor Downtown,Governmental Organization,pm25,30.0,42.3144,-83.0433,2023-06-06 00:00:00-04:00
20,1385,Windsor Downtown,Governmental Organization,pm25,29.0,42.3144,-83.0433,2023-06-05 23:00:00-04:00
21,1385,Windsor Downtown,Governmental Organization,pm25,28.0,42.3144,-83.0433,2023-06-05 22:00:00-04:00
22,1385,Windsor Downtown,Governmental Organization,pm25,29.0,42.3144,-83.0433,2023-06-05 21:00:00-04:00
23,7001,DP4TH,Governmental Organization,pm25,63.8,42.312158,-83.091943,2023-06-06 19:00:00-04:00
24,7001,DP4TH,Governmental Organization,pm25,16.3,42.312158,-83.091943,2023-06-06 18:00:00-04:00
25,7001,DP4TH,Governmental Organization,pm25,15.6,42.312158,-83.091943,2023-06-06 17:00:00-04:00
26,7001,DP4TH,Governmental Organization,pm25,18.5,42.312158,-83.091943,2023-06-06 16:00:00-04:00
27,7001,DP4TH,Governmental Organization,pm25,23.8,42.312158,-83.091943,2023-06-06 15:00:00-04:00
28,7001,DP4TH,Governmental Organization,pm25,24.5,42.312158,-83.091943,2023-06-06 14:00:00-04:00
29,7001,DP4TH,Governmental Organization,pm25,31.1,42.312158,-83.091943,2023-06-06 13:00:00-04:00
30,7001,DP4TH,Governmental Organization,pm25,31.0,42.312158,-83.091943,2023-06-06 12:00:00-04:00
31,7001,DP4TH,Governmental Organization,pm25,37.5,42.312158,-83.091943,2023-06-06 11:00:00-04:00
32,7001,DP4TH,Governmental Organization,pm25,47.2,42.312158,-83.091943,2023-06-06 10:00:00-04:00
33,7001,DP4TH,Governmental Organization,pm25,48.6,42.312158,-83.091943,2023-06-06 09:00:00-04:00
34,7001,DP4TH,Governmental Organization,pm25,46.8,42.312158,-83.091943,2023-06-06 08:00:00-04:00
35,7001,DP4TH,Governmental Organization,pm25,47.1,42.312158,-83.091943,2023-06-06 07:00:00-04:00
36,7001,DP4TH,Governmental Organization,pm25,43.8,42.312158,-83.091943,2023-06-06 06:00:00-04:00
